n,experiment,empirical_runtime_mean,empirical_runtime_std,lbds,computed_runtime_mean
500,theory_dyn,3227.896,355.6363440145003,"[]",3224.8946862877488
1000,theory_dyn,6605.074,520.8017324510355,"[]",6586.669638150198
2000,theory_dyn,13315.528,812.947297932652,"[]",13386.442970005153
3000,theory_dyn,20128.966,966.3944126721759,"[]",
500,tuned_dyn,34580.338,1885.4089285234647,"[]",34445.01484817475
1000,tuned_dyn,148697.388,6142.524983217894,"[]",148396.6523171864
2000,tuned_dyn,578759.094,14358.949711492272,"[]",578391.8675045863
3000,tuned_dyn,1.8446744073709552e+19,0.0,"[]",
500,tuned_static,4016.198,440.9751725392258,"[]",4041.1528393856424
1000,tuned_static,8541.734,967.4183785953211,"[]",8490.943846004116
2000,tuned_static,17809.542,1702.642563850675,"[]",17863.73815031364
3000,tuned_static,27639.916,2414.580131812568,"[]",
2000,tuned_dyn_cas_bin0,17973.93,1760.6141942799393,"[]",17953.387677801355
2000,tuned_dyn_cas_bin1,18165.676,1897.3838080430644,"[]",18193.26658520145
2000,tuned_dyn_cas_bin2,16642.424,1573.0822941677272,"[]",16517.918292790855
2000,tuned_dyn_cas_bin3,14873.886,1242.149472891246,"[]",14797.50821188956
2000,tuned_dyn_cas_bin4,13918.14,1050.7263051813256,"[]",13935.585587179186
2000,tuned_dyn_cas_bin5,13615.5,909.4444512998031,"[]",13570.913216041155
2000,tuned_dyn_cas_bin6,13380.312,944.0415132058547,"[]",13389.455133213814
2000,tuned_dyn_cas_bin7,13158.816,753.191719380929,"[]",13156.54319504658
2000,tuned_dyn_cas_bin8,12806.41,783.8195697352803,"[]",12771.856834873173
2000,tuned_dyn_cas_bin9,12748.334,775.686541358041,"[]",12760.02637104073
2000,tuned_dyn_cas_bin10,12709.994,751.2379369840157,"[]",12703.88128569052
3000,tuned_dyn_cas_bin0,27738.088,2473.79572888628,"[]",27606.151305534742
3000,tuned_dyn_cas_bin0,27738.088,2473.79572888628,"[]",
3000,tuned_dyn_cas_bin1,28100.758,2198.7053298329906,"[]",27918.509749057383
3000,tuned_dyn_cas_bin1,28100.758,2198.7053298329906,"[]",
3000,tuned_dyn_cas_bin2,25352.886,2085.7666592895766,"[]",25485.560524655382
3000,tuned_dyn_cas_bin2,25352.886,2085.7666592895766,"[]",
3000,tuned_dyn_cas_bin3,22509.506,1847.1250195815117,"[]",22609.885461408267
